Age,Gender,Speed_of_Impact,Helmet_Used,Seatbelt_Used,Survived
56,Female,27,No,No,1
69,Female,46,No,Yes,1
46,Male,46,Yes,Yes,0
32,Male,117,No,Yes,0
60,Female,40,Yes,Yes,0
25,Male,49,Yes,Yes,1
38,Male,116,Yes,Yes,1
56,Male,47,Yes,Yes,1
36,Female,83,Yes,No,1
40,Female,116,Yes,No,1
28,Female,88,No,Yes,1
28,Male,80,Yes,Yes,1
41,Male,67,Yes,No,1
53,Female,38,Yes,Yes,1
57,Female,23,No,Yes,0
41,Female,,No,No,0
20,Female,83,Yes,Yes,0
39,Male,68,No,No,0
19,Female,36,Yes,Yes,1
41,Male,,Yes,No,1
61,Female,111,No,No,0
47,Male,49,Yes,No,1
55,Female,112,No,Yes,0
19,Female,65,No,No,1
38,Female,25,Yes,Yes,0
50,Female,118,Yes,Yes,1
29,Male,56,No,Yes,1
39,Female,43,Yes,Yes,0
61,Male,112,Yes,No,1
42,Male,,Yes,No,0
66,,72,No,Yes,0
44,Male,114,No,Yes,0
59,Female,118,Yes,No,0
45,Male,79,No,Yes,1
33,Male,116,No,No,1
32,Male,82,No,Yes,1
64,Female,104,No,Yes,0
68,Female,51,No,No,1
61,Female,106,Yes,Yes,0
69,Female,52,Yes,No,1
20,Male,86,Yes,Yes,1
54,Male,37,No,Yes,1
68,Female,44,No,Yes,0
24,Male,114,Yes,No,1
38,Male,73,No,Yes,1
26,Male,77,Yes,Yes,0
56,Female,86,Yes,Yes,1
35,Female,65,Yes,Yes,0
21,Male,43,No,No,1
42,Female,51,No,No,0
31,Female,66,Yes,Yes,0
67,Female,105,Yes,No,1
26,Female,42,Yes,Yes,0
43,Female,85,Yes,Yes,0
19,Male,46,No,Yes,0
37,Female,21,No,No,0
45,Male,109,Yes,No,0
64,Male,36,Yes,No,0
24,Female,52,No,No,1
61,Male,28,No,No,0
25,Male,62,Yes,No,0
64,Male,67,Yes,No,1
52,Female,58,Yes,No,1
31,Female,112,No,No,1
34,Male,61,No,Yes,1
53,Female,45,No,No,1
67,Female,118,Yes,No,1
57,Female,69,Yes,No,1
21,Female,44,No,No,0
19,Male,43,No,No,0
23,Male,32,Yes,No,1
59,Female,79,No,No,0
21,Female,26,No,No,0
46,Male,76,Yes,No,0
35,Male,55,No,No,1
43,Female,64,Yes,No,1
61,Male,39,Yes,Yes,0
51,Female,84,Yes,Yes,1
27,Female,27,Yes,No,0
53,Male,35,Yes,No,0
31,Male,33,Yes,Yes,0
48,Female,95,Yes,No,0
65,Female,106,No,Yes,1
32,Male,34,Yes,Yes,1
25,Female,111,Yes,Yes,1
31,Male,117,No,Yes,0
40,Female,85,No,Yes,1
57,Male,51,No,No,0
38,Male,106,Yes,Yes,1
33,Male,82,No,No,0
62,Female,105,Yes,No,0
35,Female,70,Yes,Yes,0
64,Male,44,Yes,Yes,1
41,Female,77,Yes,No,1
43,Male,82,No,Yes,1
42,Male,81,No,Yes,1
62,Female,41,Yes,No,0
58,Female,77,Yes,No,1
46,Male,77,Yes,Yes,1
32,Female,105,No,No,0
62,Female,68,Yes,Yes,0
18,Male,71,Yes,Yes,0
42,Male,61,No,Yes,1
24,Female,89,No,No,0
26,Male,34,Yes,No,0
41,Male,73,No,No,0
18,Female,79,No,No,1
61,Male,116,Yes,No,0
25,Male,27,No,Yes,1
41,Female,72,Yes,Yes,1
28,Female,79,No,Yes,0
68,Male,24,Yes,Yes,0
34,Male,87,Yes,No,1
25,Female,25,Yes,Yes,0
52,Female,115,No,No,0
52,Female,113,Yes,Yes,1
50,Female,66,No,No,1
22,Male,118,Yes,No,0
59,Female,74,Yes,Yes,1
56,Female,59,No,Yes,0
58,Male,71,Yes,Yes,0
45,Female,35,Yes,Yes,0
24,Male,32,No,No,1
